repeat_id,all_Hit@1,all_Hit@3,all_MRR,ge2_Hit@1,ge2_Hit@3,ge2_MRR,ge3_Hit@1,ge3_Hit@3,ge3_MRR
64,0.9663865546218487,0.9747899159663865,0.9756302521008403,0.5,0.625,0.6375,0.5,0.5,0.6
65,0.9411764705882353,0.9747899159663865,0.959405867610202,0.125,0.625,0.39616228070175435,0.16666666666666666,0.5,0.3615497076023391
66,0.9495798319327731,0.9831932773109243,0.9666666666666667,0.25,0.75,0.5041666666666667,0.16666666666666666,0.6666666666666666,0.4222222222222222
67,0.9411764705882353,0.9663865546218487,0.958029878618114,0.125,0.5,0.37569444444444444,0.0,0.3333333333333333,0.25092592592592594
68,0.957983193277311,0.9831932773109243,0.9747899159663865,0.375,0.75,0.625,0.16666666666666666,0.6666666666666666,0.5
69,0.957983193277311,0.9747899159663865,0.9710884353741496,0.375,0.625,0.5699404761904762,0.16666666666666666,0.5,0.4265873015873016
70,0.957983193277311,0.9747899159663865,0.9677270908363343,0.375,0.625,0.5199404761904761,0.16666666666666666,0.5,0.3599206349206349
71,0.9495798319327731,0.9747899159663865,0.9656324068088774,0.25,0.625,0.48878205128205127,0.16666666666666666,0.5,0.40170940170940167
72,0.9663865546218487,0.9915966386554622,0.9806722689075631,0.5,0.875,0.7125,0.5,0.8333333333333334,0.7000000000000001
73,0.957983193277311,0.9663865546218487,0.9663265306122449,0.375,0.5,0.4991071428571428,0.16666666666666666,0.3333333333333333,0.33214285714285713
74,0.957983193277311,0.9915966386554622,0.9759903961584634,0.375,0.875,0.6428571428571428,0.3333333333333333,0.8333333333333334,0.6071428571428571
75,0.9495798319327731,1.0,0.9705882352941175,0.25,1.0,0.5625,0.16666666666666666,1.0,0.5
76,0.957983193277311,0.9915966386554622,0.9716386554621848,0.375,0.875,0.578125,0.3333333333333333,0.8333333333333334,0.5208333333333334
77,0.9411764705882353,0.9747899159663865,0.9613145258103242,0.125,0.625,0.4245535714285714,0.0,0.5,0.31607142857142856
78,0.957983193277311,1.0,0.9775910364145659,0.375,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6388888888888888
79,0.957983193277311,0.9831932773109243,0.9715686274509805,0.375,0.75,0.5770833333333334,0.3333333333333333,0.6666666666666666,0.5194444444444445
80,0.957983193277311,0.9747899159663865,0.9689775910364145,0.375,0.625,0.5385416666666667,0.3333333333333333,0.5,0.4680555555555555
81,0.957983193277311,0.9831932773109243,0.9719187675070028,0.375,0.75,0.5822916666666667,0.16666666666666666,0.6666666666666666,0.44305555555555554
82,0.9663865546218487,0.9915966386554622,0.9792717086834734,0.5,0.875,0.6916666666666667,0.5,0.8333333333333334,0.6722222222222222
83,0.9747899159663865,0.9915966386554622,0.9809923969587834,0.625,0.875,0.7172619047619047,0.5,0.8333333333333334,0.623015873015873
84,0.957983193277311,0.9747899159663865,0.9679271708683472,0.375,0.625,0.5229166666666666,0.16666666666666666,0.5,0.3638888888888889
85,0.9663865546218487,0.9747899159663865,0.9738095238095238,0.5,0.625,0.6104166666666666,0.3333333333333333,0.5,0.48055555555555557
86,0.9411764705882353,0.9831932773109243,0.9597338935574229,0.125,0.75,0.40104166666666663,0.0,0.6666666666666666,0.2847222222222222
87,0.957983193277311,0.9747899159663865,0.9684373749499798,0.375,0.625,0.5305059523809523,0.3333333333333333,0.5,0.45734126984126977
88,0.9411764705882353,0.9747899159663865,0.9609843937575029,0.125,0.625,0.41964285714285715,0.16666666666666666,0.5,0.39285714285714285
89,0.957983193277311,0.9663865546218487,0.969467787114846,0.375,0.5,0.5458333333333334,0.16666666666666666,0.3333333333333333,0.39444444444444443
90,0.9663865546218487,0.9915966386554622,0.9796918767507002,0.5,0.875,0.6979166666666666,0.3333333333333333,0.8333333333333334,0.5972222222222222
91,0.9411764705882353,0.9747899159663865,0.9599889955982392,0.125,0.625,0.40483630952380956,0.16666666666666666,0.5,0.3731150793650793
92,0.9411764705882353,0.9663865546218487,0.955765639589169,0.125,0.5,0.34201388888888884,0.0,0.3333333333333333,0.20601851851851852
93,0.9411764705882353,0.9915966386554622,0.9660364145658263,0.125,0.875,0.49479166666666663,0.0,0.8333333333333334,0.40972222222222215
94,0.957983193277311,0.9831932773109243,0.9734530175706646,0.375,0.75,0.6051136363636364,0.3333333333333333,0.6666666666666666,0.5568181818181818
95,0.9495798319327731,0.9747899159663865,0.9656862745098039,0.25,0.625,0.48958333333333337,0.16666666666666666,0.5,0.40277777777777785
96,0.9411764705882353,0.957983193277311,0.9576830732292917,0.125,0.375,0.3705357142857143,0.0,0.16666666666666666,0.24404761904761904
97,0.957983193277311,0.9831932773109243,0.973889555822329,0.375,0.75,0.6116071428571428,0.16666666666666666,0.6666666666666666,0.48214285714285715
98,0.9495798319327731,0.9831932773109243,0.9681372549019608,0.25,0.75,0.5260416666666666,0.0,0.6666666666666666,0.3680555555555555
99,0.9663865546218487,0.9747899159663865,0.9731792717086833,0.5,0.625,0.6010416666666667,0.3333333333333333,0.5,0.4680555555555556
100,0.9495798319327731,0.9747899159663865,0.965126050420168,0.25,0.625,0.48124999999999996,0.3333333333333333,0.5,0.47500000000000003
101,0.957983193277311,0.9831932773109243,0.9721288515406161,0.375,0.75,0.5854166666666667,0.3333333333333333,0.6666666666666666,0.5305555555555556
102,0.9411764705882353,0.9663865546218487,0.9593837535014006,0.125,0.5,0.39583333333333337,0.0,0.3333333333333333,0.2777777777777778
103,0.9495798319327731,0.9831932773109243,0.9675870348139255,0.25,0.75,0.5178571428571428,0.16666666666666666,0.6666666666666666,0.4404761904761904
